pole,abbr,Lat (N),Long (E),A95,Age (Ma),Reference
Mackenzie Dykes,L-MD,4,190,5,1267,Buchan and Halls (1990)
Sudbury Dykes,L-SD,-3,192,3,1235+7/-3,Palmer and others (1977)
Abitibi Dykes,L-AD,43,209,14,1141,Ernst and Buchan (1993)
Logan sills,L-LS,49,220,4,1109,Buchan and others (2000)
Osler Volcanics,L-OV,43.7,196.3,7.6,1105,Halls (1974)
North Shore Volcanic Group (upper),L-NSVG,36.7,182.3,3.6,"1098.4, 1096.6",Tauxe and Kodama (2009)
Portage Lake Volcanics,L-PL,27.3,178.3,4.8,1095,Hnat and others (2006)
Lake Shore Traps,L-LST,22.2,180.8,5,1087,Diehl and Haig (1994)
Nonesuch Shale,L-NS,7.7,178.2,5.9,<1087,Henry and others (1977)
Freda Sandstone,L-FS,3.7,179.1,4.8,<L-NS (deposited during active rift volcanism),Henry and others (1977)
Jacobsville Sandstone,L-JS,-9.3,183.6,4.7,< L-FS,Roy and Robertson (1978)
Chequamegon Sandstone,L-CS,-12.3,177.7,4.6,"< L-FS, upper L-JS",McCabe and Van der Voo (1983)
Haliburton Intrusives,L-HI,-32.6,141.9,6.3,1015,Warnock and others (2000)
Nankoweap Formation,L-NF,-10,163,4.9,<942 Ma,Weil and others (2003)
Gunbarrel dykes and sills,L-GB,9.2,138.7,9,782-776,Harlan and others (2008)
Uinta Mountain Group,L-UM,0.8,161.3,4.6,780-742,Weil and others (2006)
Galeros Formation,L-GF,-2.1,163,6,804,Weil and others (2004)
Kwagunt Formation,L-KF,18.2,166,7,older than 742,Weil and others (2004)
Franklin Event Grand Mean,L-FLIP,8.4,163.8,2.8,721-712,Denyszyn and others (2009)
Long Range Dykes,L-LRD,19,355.3,17.4,615,Murthy and others (1992)
