sample,max_temp,fit,distance_m,dis_norm
PI24-16a,375,MT,0.86,0.330769231
PI24-17a,400,MT,1.13,0.434615385
PI24-18a,500,MT,0.56,0.215384615
PI24-20a,570,MT,0.06,0.023076923
PI24-21a,560,MT,0.5,0.192307692
PI24-23a,570,MT,0.04,0.015384615
PI24-24a,375,MT,0.03,0.011538462
PI24-26a,300,MT,4.4,2.2
PI24-27a,400,MT,4.45,2.225
PI24-28a,577,MT,5.13,2.565
PI24-29a,275,MT,5.33,2.665
PI24-31a,475,MT,2.45,1.225
PI22-16,450,MT,0.04,0.057142857
PI22-17,525,MT,0.05,0.071428571
PI22-18,550,MT,0.14,0.107692308
PI22-19,525,MT,0.38,0.292307692
PI22-20,500,MT,0.73,0.561538462
PI22-21,475,MT,1.6,1.230769231
PI22-22,525,MT,2.08,1.6
PI22-23,525,MT,2.15,1.653846154
PI22-24,550,MT,3.11,2.392307692
PI22-25,525,MT,3.22,2.476923077
PI22-26,500,MT,3.35,2.576923077
PI22-27,550,MT,,
PI22-28,475,MT,,
PI22-29,500,MT,,
PI22-31,300,MT,,
PI22-32,525,MT,,
PI16-26,475,MT,8,
PI16-27,400,MT,8,
PI16-28,400,MT,8,
PI16-29,350,MT,8,
PI16-30,375,MT,8,
PI32-1,400,MT,20.92448547,6.53890171
PI32-2,350,MT,21.00227166,6.563209895
PI32-3,250,MT,21.31341643,6.660442634
PI32-4,250,MT,21.00227166,6.563209895
PI32-5,275,MT,21.00227166,6.563209895
PI32-6,325,MT,21.15784405,6.611826264
PI32-7,275,MT,22.09127834,6.903524482
PI32-8,250,MT,22.16906453,6.927832666
PI32-9,250,MT,22.24685072,6.952140851
PI33-1,325,MT,17.89082401,5.590882503
PI33-2,350,MT,16.80181733,5.250567916
PI33-3,350,MT,18.04639639,5.639498872
PI33-5,350,MT,17.73525163,5.542266133
PI33-6,300,MT,17.57967924,5.493649764
PI34-1,570,HT,7.934191517,2.479434849
PI34-2,570,HT,6.845184838,2.139120262
PI34-3,570,HT,8.0897639,2.528051219
PI34-4,570,HT,8.0897639,2.528051219
PI34-5,570,HT,7.778619134,2.430818479
PI34-6,570,HT,6.534040073,2.041887523
PI34-7,570,HT,5.133888629,1.604340196
PI34-8,570,HT,2.489158123,0.777861913
