er_sample_name,measurement_step_max,specimen_comp_name
DeI2-1,575,HT
DeI2-1,575,HT
DeI2-2,575,HT
DeI2-2,575,HT
DeI2-3,575,HT
DeI2-3,575,HT
DeI2-4,575,HT
DeI2-4,575,HT
DeI2-6,575,HT
DeI2-6,575,HT
PI15-10,600,HT
PI15-10,600,HT
PI15-2,575,HT
PI15-2,575,HT
PI15-6,550,HT
PI15-6,550,HT
PI15-7,600,HT
PI15-7,600,HT
PI15-8,600,HT
PI15-8,600,HT
PI16-10,560,HT
PI16-10,560,HT
PI16-11,580,HT
PI16-11,580,HT
PI16-12,525,HT
PI16-12,525,HT
PI16-13,550,HT
PI16-13,550,HT
PI16-14,570,HT
PI16-14,570,HT
PI16-16,580,HT
PI16-16,580,HT
PI16-17,525,HT
PI16-17,525,HT
PI16-19,550,HT
PI16-19,550,HT
PI16-1,550,HT
PI16-1,550,HT
PI16-20,580,HT
PI16-20,580,HT
PI16-23,525,HT
PI16-23,525,HT
PI16-2,550,HT
PI16-2,550,HT
PI16-3,580,HT
PI16-3,580,HT
PI16-4,575,HT
PI16-4,575,HT
PI16-6,560,HT
PI16-6,560,HT
PI16-7,575,HT
PI16-7,575,HT
PI16-9,580,HT
PI16-9,580,HT
PI22-10,560,HT
PI22-10,560,HT
PI22-11,475,HT
PI22-11,475,HT
PI22-12,520,HT
PI22-12,520,HT
PI22-13,580,HT
PI22-13,580,HT
PI22-14,580,HT
PI22-14,580,HT
PI22-15,580,HT
PI22-15,580,HT
PI22-1,580,HT
PI22-1,580,HT
PI22-2,500,HT
PI22-2,500,HT
PI22-3,580,HT
PI22-3,580,HT
PI22-4,550,HT
PI22-4,550,HT
PI22-5,550,HT
PI22-5,550,HT
PI22-6,475,HT
PI22-6,475,HT
PI22-7,580,HT
PI22-7,580,HT
PI22-8,580,HT
PI22-8,580,HT
PI22-9,580,HT
PI22-9,580,HT
PI24-10,580,HT
PI24-10,580,HT
PI24-1,550,HT
PI24-1,550,HT
PI24-2,580,HT
PI24-2,580,HT
PI24-3,580,HT
PI24-3,580,HT
PI24-4,580,HT
PI24-4,580,HT
PI24-7,580,HT
PI24-7,580,HT
PI26-1,580,HT
PI26-1,580,HT
PI26-2,580,HT
PI26-2,580,HT
PI26-3,580,HT
PI26-3,580,HT
PI26-4,580,HT
PI26-4,580,HT
PI26-5,580,HT
PI26-5,580,HT
PI26-6,580,HT
PI26-6,580,HT
PI26-7,580,HT
PI26-7,580,HT
PI26-8,580,HT
PI26-8,580,HT
PI26-9,580,HT
PI26-9,580,HT
PI2m-1,575,HT
PI2m-1,575,HT
PI2m-5,575,HT
PI2m-5,575,HT
PI2m-6,575,HT
PI2m-6,575,HT
PI2m-7,550,HT
PI2m-7,550,HT
PI2m-8,575,HT
PI2m-8,575,HT
PI31-10,580,HT
PI31-10,580,HT
PI31-12,580,HT
PI31-12,580,HT
PI31-13,580,HT
PI31-13,580,HT
PI31-14,580,HT
PI31-14,580,HT
PI31-16,580,HT
PI31-16,580,HT
PI31-17,500,HT
PI31-17,500,HT
PI31-18,580,HT
PI31-18,580,HT
PI31-19,500,HT
PI31-19,500,HT
PI31-1,450,HT
PI31-1,450,HT
PI31-20,580,HT
PI31-20,580,HT
PI31-2,425,HT
PI31-2,425,HT
PI31-4,580,HT
PI31-4,580,HT
PI31-5,450,HT
PI31-5,450,HT
PI31-6,580,HT
PI31-6,580,HT
PI31-8,570,HT
PI31-8,570,HT
PI31-9,580,HT
PI31-9,580,HT
PI44-10,580,HT
PI44-10,580,HT
PI44-12,580,HT
PI44-12,580,HT
PI44-13,580,HT
PI44-13,580,HT
PI44-1,580,HT
PI44-1,580,HT
PI44-2,580,HT
PI44-2,580,HT
PI44-3,580,HT
PI44-3,580,HT
PI44-4,580,HT
PI44-4,580,HT
PI44-5,580,HT
PI44-5,580,HT
PI44-6,580,HT
PI44-6,580,HT
PI44-7,580,HT
PI44-7,580,HT
PI44-8,580,HT
PI44-8,580,HT
PI44-9,580,HT
PI44-9,580,HT
PI46-10,580,HT
PI46-10,580,HT
PI46-11,580,HT
PI46-11,580,HT
PI46-1,580,HT
PI46-1,580,HT
PI46-2,580,HT
PI46-2,580,HT
PI46-3,580,HT
PI46-3,580,HT
PI46-4,580,HT
PI46-4,580,HT
PI46-5,580,HT
PI46-5,580,HT
PI46-6,580,HT
PI46-6,580,HT
PI46-7,580,HT
PI46-7,580,HT
PI46-8,580,HT
PI46-8,580,HT
PI46-9,580,HT
PI46-9,580,HT
PI47-1,579,HT
PI47-1,579,HT
PI47-2,579,HT
PI47-2,579,HT
PI47-3,579,HT
PI47-3,579,HT
PI47-4,570,HT
PI47-4,570,HT
PI47-5,579,HT
PI47-5,579,HT
PI47-6,579,HT
PI47-6,579,HT
PI47-7,579,HT
PI47-7,579,HT
PI47-8,579,HT
PI47-8,579,HT
PI47-9,579,HT
PI47-9,579,HT
