er_sample_name,measurement_step_max,specimen_comp_name
PI16-10,560,HT
PI16-11,580,HT
PI16-12,525,HT
PI16-13,550,HT
PI16-14,570,HT
PI16-16,580,HT
PI16-17,525,HT
PI16-19,550,HT
PI16-1,550,HT
PI16-20,580,HT
PI16-23,525,HT
PI16-2,550,HT
PI16-3,580,HT
PI16-4,575,HT
PI16-6,560,HT
PI16-7,575,HT
PI16-9,580,HT
PI22-10,560,HT
PI22-11,475,HT
PI22-12,520,HT
PI22-13,580,HT
PI22-14,580,HT
PI22-15,580,HT
PI22-1,580,HT
PI22-2,500,HT
PI22-3,580,HT
PI22-4,550,HT
PI22-5,550,HT
PI22-6,475,HT
PI22-7,580,HT
PI22-8,580,HT
PI22-9,580,HT
PI24-10,580,HT
PI24-1,550,HT
PI24-2,580,HT
PI24-3,580,HT
PI24-4,580,HT
PI24-7,580,HT
PI31-10,580,HT
PI31-12,580,HT
PI31-13,580,HT
PI31-14,580,HT
PI31-16,580,HT
PI31-17,500,HT
PI31-18,580,HT
PI31-19,500,HT
PI31-1,450,HT
PI31-20,580,HT
PI31-2,425,HT
PI31-4,580,HT
PI31-5,450,HT
PI31-6,580,HT
PI31-8,570,HT
PI31-9,580,HT
