tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-17 01:06:42	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	6.000e-02	0	T		1	HC	u	26.6	247.3	l	g	52.9	3.7	79	-1
	This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-17 01:06:42	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	6.000e-02	0	T		1	HC	u	26.6	2.2	l	g	55.6	3.7	79	0
	This study	unknown	PI2c-11	PI2c	PI2c-11a	PI2c-11a:LP-DIR-AF	hargrave 2014-03-17 03:20:50	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	4.100e-02	T		2	HC	u	14.1	102.5	l	g	-13.7	8.8	30	-1
	This study	unknown	PI2c-11	PI2c	PI2c-11a	PI2c-11a:LP-DIR-AF	hargrave 2014-03-17 03:20:50	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	2.100e-02	0	T		2	LC	u	103.7	217.1	l	g	71.0	3.2	42	-1
	This study	unknown	PI2c-11	PI2c	PI2c-11a	PI2c-11a:LP-DIR-AF	hargrave 2014-03-17 03:20:50	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	4.100e-02	T		2	HC	u	14.1	236.9	l	g	-8.1	8.8	30	0
	This study	unknown	PI2c-11	PI2c	PI2c-11a	PI2c-11a:LP-DIR-AF	hargrave 2014-03-17 03:20:50	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	2.100e-02	0	T		2	LC	u	103.7	70.4	l	g	76.9	3.2	42	0
	This study	unknown	PI2c-12	PI2c	PI2c-12a	PI2c-12a:LP-DIR-AF	hargrave 2014-03-17 05:33:56	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	2.600e-02	0	T		2	LC	u	47.9	45.4	l	g	54.3	7.6	51	-1
	This study	unknown	PI2c-12	PI2c	PI2c-12a	PI2c-12a:LP-DIR-AF	hargrave 2014-03-17 05:33:56	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	2.600e-02	T		2	HC	u	4.0	101.3	l	g	23.4	3.5	45	-1
	This study	unknown	PI2c-12	PI2c	PI2c-12a	PI2c-12a:LP-DIR-AF	hargrave 2014-03-17 05:33:56	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	2.600e-02	0	T		2	LC	u	47.9	124.8	l	g	37.7	7.6	51	0
	This study	unknown	PI2c-12	PI2c	PI2c-12a	PI2c-12a:LP-DIR-AF	hargrave 2014-03-17 05:33:56	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	2.600e-02	T		2	HC	u	4.0	184.8	l	g	25.8	3.5	45	0
	This study	unknown	PI2c-13	PI2c	PI2c-13a	PI2c-13a:LP-DIR-AF	hargrave 2014-03-17 07:47:45	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	2.450e-02	T		1	HC	u	3.4	157.3	l	g	53.4	2.0	47	-1
	This study	unknown	PI2c-13	PI2c	PI2c-13a	PI2c-13a:LP-DIR-AF	hargrave 2014-03-17 07:47:45	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	2.450e-02	T		1	HC	u	3.4	13.0	l	g	72.4	2.0	47	0
	This study	unknown	PI2c-14	PI2c	PI2c-14a	PI2c-14a:LP-DIR-AF	hargrave 2014-03-17 10:01:10	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	1.050e-02	T		1	HC	u	1.9	58.9	l	g	86.4	2.2	75	-1
	This study	unknown	PI2c-14	PI2c	PI2c-14a	PI2c-14a:LP-DIR-AF	hargrave 2014-03-17 10:01:10	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	1.050e-02	T		1	HC	u	1.9	344.5	l	g	45.1	2.2	75	0
	This study	unknown	PI2c-15	PI2c	PI2c-15a	PI2c-15a:LP-DIR-AF	hargrave 2014-03-17 20:07:44	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.350e-02	0	T		2	LC	u	113.7	203.3	l	g	49.1	8.6	27	-1
	This study	unknown	PI2c-15	PI2c	PI2c-15a	PI2c-15a:LP-DIR-AF	hargrave 2014-03-17 20:07:44	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.400e-01	4.900e-02	T		2	HC	u	25.5	53.4	l	g	-54.5	2.5	22	-1
	This study	unknown	PI2c-15	PI2c	PI2c-15a	PI2c-15a:LP-DIR-AF	hargrave 2014-03-17 20:07:44	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.350e-02	0	T		2	LC	u	113.7	60.5	l	g	67.8	8.6	27	0
	This study	unknown	PI2c-15	PI2c	PI2c-15a	PI2c-15a:LP-DIR-AF	hargrave 2014-03-17 20:07:44	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	1.400e-01	4.900e-02	T		2	HC	u	25.5	285.2	l	g	-62.2	2.5	22	0
