tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-15 00:21:36	LT-NO:LP-DIR-T	pmagpy-3.2.1	0.6	128.6		g	31.2	1.33e-07	1	1	9.80e-10	9.20e-10	8.94e-10	u	273	0	0	273
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-15 23:40:40	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	129.3		g	31.3	1.32e-07	2	1	3.29e-09	2.86e-09	9.20e-10	u	273	0	0	323.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-16 18:18:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.7	128.6		g	30.8	1.31e-07	3	1	1.18e-09	8.57e-10	9.44e-10	u	273	0	0	348.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-17 14:33:38	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	129.0		g	29.9	1.29e-07	4	1	2.27e-09	2.01e-09	9.41e-10	u	273	0	0	373.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-18 23:52:18	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	126.0		g	28.5	1.26e-07	5	1	2.78e-09	2.29e-09	9.32e-10	u	273	0	0	398.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-19 22:26:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	126.5		g	27.7	1.23e-07	6	1	1.72e-09	1.36e-09	8.99e-10	u	273	0	0	423.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-21 16:35:46	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	126.9		g	27.2	1.21e-07	7	1	2.54e-09	1.86e-09	8.96e-10	u	273	0	0	448.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-04-23 18:11:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	125.6		g	26.8	1.18e-07	8	1	2.18e-09	1.45e-09	8.36e-10	u	273	0	0	473.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-08-14 23:31:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	125.1		g	26.3	1.14e-07	9	1	2.31e-09	1.18e-09	8.58e-10	u	273	0	0	498.0
This study	unknown	DeI2-1	DeI2	DeI2-1a	DeI2-1a:LP-DIR-T	hargrave 2014-08-19 11:59:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	125.9		g	26.0	1.12e-07	10	1	2.15e-09	1.09e-09	5.65e-10	u	273	0	0	523.0
