tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-16 17:49:07	LT-NO:LP-DIR-T	pmagpy-3.2.1	1.0	152.2		g	20.3	5.31e-07	1	1	1.88e-09	8.34e-09	3.77e-09	u	273	0	0	273
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-18 16:26:40	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	0.9	156.2		g	15.6	3.70e-07	2	1	3.17e-09	2.26e-09	4.93e-09	u	273	0	0	77
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-19 17:27:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	154.2		g	15.1	3.65e-07	3	1	4.40e-09	5.64e-09	1.55e-09	u	273	0	0	323.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-21 21:12:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	155.8		g	14.2	3.55e-07	4	1	2.36e-09	8.42e-09	2.62e-09	u	273	0	0	348.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-24 08:41:11	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	155.0		g	13.7	3.41e-07	5	1	5.92e-09	1.04e-08	2.33e-09	u	273	0	0	373.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-24 16:06:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	154.5		g	11.9	3.05e-07	6	1	3.00e-09	9.10e-09	1.28e-09	u	273	0	0	398.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-25 11:22:57	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.4	155.5		g	10.4	2.85e-07	7	1	6.33e-10	1.52e-09	1.32e-09	u	273	0	0	423.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-26 12:42:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	155.0		g	08.8	2.69e-07	8	1	1.27e-09	3.20e-09	1.03e-09	u	273	0	0	448.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-26 18:44:17	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	153.2		g	08.5	2.59e-07	9	1	5.04e-09	9.08e-09	1.11e-09	u	273	0	0	473.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-09-28 18:35:50	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.5	157.2		g	08.3	2.44e-07	10	1	4.48e-09	9.48e-09	1.15e-09	u	273	0	0	498.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-10-01 10:54:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	155.3		g	07.3	2.32e-07	11	1	4.81e-09	9.87e-09	9.13e-10	u	273	0	0	523.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-10-05 17:47:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.5	155.4		g	05.6	2.01e-07	12	1	3.73e-09	7.76e-09	9.90e-10	u	273	0	0	548.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-10-06 01:21:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	155.9		g	04.0	1.73e-07	13	1	2.04e-09	5.19e-09	8.86e-10	u	273	0	0	573.0
This study	unknown	PI22H-16	PI22H	PI22H-16a	PI22H-16a:LP-DIR-T	hargrave 2015-10-06 05:57:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	156.6		g	06.7	1.43e-07	14	1	1.17e-09	3.30e-09	9.51e-10	u	273	0	0	598.0
