tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-09-24 20:16:22	LT-NO:LP-DIR-T	pmagpy-3.4.0	2.4	003.0		g	26.8	5.57e-05	1	1	2.19e-06	2.14e-06	2.30e-07	u	273	0	0	273
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-09-26 11:34:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	004.3		g	26.6	5.62e-05	2	1	1.62e-06	1.24e-06	4.54e-07	u	273	0	0	323.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-09-28 15:13:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	004.2		g	26.5	5.64e-05	3	1	2.38e-06	1.69e-06	5.71e-07	u	273	0	0	348.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-09-29 11:21:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.9	001.9		g	26.4	5.61e-05	4	1	2.51e-06	2.52e-06	5.53e-07	u	273	0	0	373.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-04 09:51:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	003.4		g	25.5	5.77e-05	5	1	2.57e-06	1.68e-06	2.68e-07	u	273	0	0	398.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-05 22:21:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	005.6		g	24.9	5.73e-05	6	1	2.55e-06	2.46e-06	8.29e-07	u	273	0	0	423.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-06 07:56:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	004.5		g	24.2	5.80e-05	7	1	2.85e-06	2.66e-06	1.18e-06	u	273	0	0	448.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-10 12:57:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	005.4		g	24.1	5.93e-05	8	1	3.25e-06	2.43e-06	6.15e-07	u	273	0	0	473.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-20 08:21:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	008.4		g	23.6	5.83e-05	9	1	2.86e-06	2.57e-06	6.36e-07	u	273	0	0	498.0
This study	Slate Islands	PI33-1	PI33	PI33-1b	PI33-1b:LP-DIR-T	hargrave 2015-10-26 19:31:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	006.1		g	23.5	6.02e-05	10	1	3.39e-06	2.29e-06	8.12e-07	u	273	0	0	523.0
