tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-08-26 15:50:49	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	5.0	184.9		g	06.2	4.82e-08	1	1	6.42e-10	4.20e-09	4.94e-10	u	273	0	0	298.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-08-28 11:03:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.7	184.6		g	05.5	4.65e-08	2	1	4.03e-10	3.75e-09	5.01e-10	u	273	0	0	323.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-08-28 19:00:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	183.2		g	04.2	4.57e-08	3	1	1.95e-10	1.44e-09	3.88e-10	u	273	0	0	348.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-08-30 11:22:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	5.5	185.5		g	02.3	4.37e-08	4	1	3.96e-10	4.20e-09	4.62e-10	u	273	0	0	373.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-08-30 17:22:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	182.4		g	01.4	4.26e-08	5	1	2.48e-10	1.65e-09	4.42e-10	u	273	0	0	398.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-09-01 11:18:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	5.8	188.6		g	-00.1	4.08e-08	6	1	4.76e-10	4.12e-09	4.60e-10	u	273	0	0	423.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-09-01 17:32:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	187.0		g	-00.4	3.99e-08	7	1	2.35e-10	9.37e-10	4.11e-10	u	273	0	0	448.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-09-02 13:56:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.3	183.9		g	-00.8	3.86e-08	8	1	1.82e-10	2.18e-09	3.99e-10	u	273	0	0	473.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-09-04 10:51:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	6.0	188.0		g	-01.1	3.74e-08	9	1	4.15e-10	3.93e-09	3.70e-10	u	273	0	0	498.0
This study	Slate Islands	PI24c-1	PI24c	PI24c-1b	PI24c-1b:LP-DIR-T	hargrave 2014-09-05 11:27:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	184.9		g	-01.8	3.58e-08	10	1	1.94e-10	5.48e-10	4.15e-10	u	273	0	0	523.0
