tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-08-26 17:15:23	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	0.9	068.4		g	71.3	1.86e-06	1	1	2.02e-08	2.21e-08	1.18e-08	u	273	0	0	298.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-08-28 12:28:06	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	066.3		g	71.0	1.84e-06	2	1	4.20e-08	1.25e-08	1.12e-08	u	273	0	0	323.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-08-28 20:24:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	067.8		g	70.0	1.80e-06	3	1	1.06e-08	2.88e-08	1.16e-08	u	273	0	0	348.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-08-30 14:16:28	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	067.8		g	68.8	1.71e-06	4	1	1.55e-08	3.31e-08	1.05e-08	u	273	0	0	373.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-08-30 20:18:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	071.0		g	66.1	1.58e-06	5	1	1.04e-08	2.23e-08	1.14e-08	u	273	0	0	398.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-01 14:34:09	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	067.1		g	64.8	1.51e-06	6	1	8.40e-09	2.22e-08	1.13e-08	u	273	0	0	423.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-02 10:38:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	066.6		g	63.7	1.44e-06	7	1	1.01e-08	2.53e-08	1.16e-08	u	273	0	0	448.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-02 17:15:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	066.5		g	63.0	1.38e-06	8	1	1.47e-08	1.92e-08	1.15e-08	u	273	0	0	473.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-04 20:00:42	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	064.4		g	62.6	1.33e-06	9	1	3.88e-08	1.12e-08	1.20e-08	u	273	0	0	498.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-06 12:52:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	064.8		g	62.2	1.27e-06	10	1	1.99e-08	1.29e-08	1.09e-08	u	273	0	0	523.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-06 19:05:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	065.6		g	61.6	1.19e-06	11	1	2.78e-08	1.01e-08	1.09e-08	u	273	0	0	548.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-08 11:37:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	066.4		g	61.1	1.13e-06	12	1	8.40e-09	2.16e-08	1.08e-08	u	273	0	0	573.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-08 18:39:52	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	066.5		g	60.5	1.04e-06	13	1	1.44e-08	1.45e-08	1.00e-08	u	273	0	0	598.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-11 15:51:06	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	067.3		g	59.6	9.29e-07	14	1	1.23e-08	1.04e-08	8.16e-09	u	273	0	0	623.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-16 11:06:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	067.7		g	59.0	8.52e-07	15	1	7.84e-09	1.46e-08	8.01e-09	u	273	0	0	648.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-16 19:52:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	065.5		g	59.0	7.62e-07	16	1	8.62e-09	1.40e-08	5.97e-09	u	273	0	0	673.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-19 14:59:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	066.0		g	58.5	7.25e-07	17	1	8.47e-09	1.14e-08	7.48e-09	u	273	0	0	698.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-25 11:27:42	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	071.2		g	57.5	6.23e-07	18	1	1.89e-09	9.74e-09	5.61e-09	u	273	0	0	723.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-25 22:06:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	069.3		g	56.6	5.51e-07	19	1	1.97e-08	3.02e-09	4.87e-09	u	273	0	0	748.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-26 15:51:29	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	071.8		g	56.0	4.83e-07	20	1	8.35e-09	6.65e-09	5.09e-09	u	273	0	0	773.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-09-30 13:54:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	072.4		g	54.4	3.85e-07	21	1	3.84e-09	8.08e-09	4.35e-09	u	273	0	0	793.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-10-03 15:03:12	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	078.7		g	49.4	1.97e-07	22	1	4.08e-09	2.84e-09	1.98e-09	u	273	0	0	813.0
This study	unknown	PI44-10	PI44	PI44-10b	PI44-10b:LP-DIR-T	hargrave 2014-10-09 13:14:18	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	078.7		g	46.2	1.51e-07	23	1	6.66e-10	3.08e-09	2.09e-09	u	273	0	0	823.0
