tab delimited	contribution
data_model_version
3.0
>>>>>>>>>>
tab delimited	sites
site	location	citations	lat	lon
DeI2	unknown	This study	48.7	273.0
PI15	unknown	This study	48.6	273.0
PI16	unknown	This study	48.7	273.0
PI16	Slate Islands	This study	48.7	273.0
PI16H	unknown	This study	48.7	-87.0
PI22	unknown	This study	48.7	273.0
PI22H	unknown	This study	48.7	-87.0
PI24H	unknown	This study	48.7	-87.0
PI24c	Slate Islands	This study	48.7	273.0
PI24m	Slate Islands	This study	48.7	273.0
PI26	unknown	This study	48.6	273.0
PI2c	unknown	This study	48.6	272.9
PI2m	unknown	This study	48.6	272.9
PI31	unknown	This study	48.6	273.0
PI32	Slate Islands	This study	48.6	272.9
PI33	Slate Islands	This study	48.6	272.9
PI34	Slate Islands	This study	48.6	272.9
PI44	unknown	This study	48.7	272.9
PI46	unknown	This study	48.7	273.0
PI47	unknown	This study	48.7	-87.0
>>>>>>>>>>
tab delimited	samples
sample	site	method_codes	citations	orientation_quality	azimuth	azimuth_dec_correction	dip	bed_dip	bed_dip_direction	height
DeI2-1	DeI2	SO-CMD-NORTH	This study	g	-5.8	-5.8	-39.0	0.0	84.2	0
DeI2-2	DeI2	SO-CMD-NORTH	This study	g	-1.8	-5.8	-27.0	0.0	84.2	0
DeI2-3	DeI2	SO-CMD-NORTH	This study	g	-6.8	-5.8	-28.0	0.0	84.2	0
DeI2-4	DeI2	SO-CMD-NORTH	This study	g	-7.8	-5.8	-28.0	0.0	84.2	0
DeI2-6	DeI2	SO-CMD-NORTH	This study	g	155.2	-5.8	-20.0	0.0	84.2	0
DeI2-7	DeI2	SO-CMD-NORTH	This study	g	75.2	-5.8	-17.0	0.0	84.2	0
PI15-10	PI15	SO-CMD-NORTH	This study	g	18.2	-5.8	-83.0	0.0	84.2	0
PI15-2	PI15	SO-CMD-NORTH	This study	g	-32.8	-5.8	-42.0	0.0	84.2	0
PI15-6	PI15	SO-CMD-NORTH	This study	g	-5.8	-5.8	-87.0	0.0	84.2	0
PI15-7	PI15	SO-CMD-NORTH	This study	g	7.2	-5.8	-78.0	0.0	84.2	0
PI15-8	PI15	SO-CMD-NORTH	This study	g	3.2	-5.8	-74.0	0.0	84.2	0
PI16-1	PI16	SO-CMD-NORTH	This study	g	237.2	-5.8	-72.0	0.0	84.2	0
PI16-10	PI16	SO-CMD-NORTH	This study	g	240.2	-5.8	-26.0	0.0	84.2	0
PI16-11	PI16	SO-CMD-NORTH	This study	g	236.2	-5.8	-54.0	0.0	84.2	0
PI16-12	PI16	SO-CMD-NORTH	This study	g	229.2	-5.8	-39.0	0.0	84.2	0
PI16-13	PI16	SO-CMD-NORTH	This study	g	-77.8	-5.8	-32.0	0.0	84.2	0
PI16-14	PI16	SO-CMD-NORTH	This study	g	111.2	-5.8	-45.0	0.0	84.2	0
PI16-15	PI16	SO-CMD-NORTH	This study	g	182.2	-5.8	-42.0	0.0	84.2	0
PI16-16	PI16	SO-CMD-NORTH	This study	g	254.2	-5.8	-39.0	0.0	84.2	0
PI16-17	PI16	SO-CMD-NORTH	This study	g	210.2	-5.8	-38.0	0.0	84.2	0
PI16-18	PI16	SO-CMD-NORTH	This study	g	69.2	-5.8	-35.0	0.0	84.2	0
PI16-19	PI16	SO-CMD-NORTH	This study	g	83.2	-5.8	-22.0	0.0	84.2	0
PI16-2	PI16	SO-CMD-NORTH	This study	g	211.2	-5.8	-45.0	0.0	84.2	0
PI16-20	PI16	SO-CMD-NORTH	This study	g	204.2	-5.8	-35.0	0.0	84.2	0
PI16-21	PI16	SO-CMD-NORTH	This study	g	243.2	-5.8	-46.0	0.0	84.2	0
PI16-22	PI16	SO-CMD-NORTH	This study	g	237.2	-5.8	-33.0	0.0	84.2	0
PI16-23	PI16	SO-CMD-NORTH	This study	g	244.2	-5.8	-18.0	0.0	84.2	0
PI16-24	PI16	SO-CMD-NORTH	This study	g	262.2	-5.8	-42.0	0.0	84.2	0
PI16-3	PI16	SO-CMD-NORTH	This study	g	232.2	-5.8	-80.0	0.0	84.2	0
PI16-4	PI16	SO-CMD-NORTH	This study	g	242.2	-5.8	-59.0	0.0	84.2	0
PI16-6	PI16	SO-CMD-NORTH	This study	g	-93.8	-5.8	-41.0	0.0	84.2	0
PI16-7	PI16	SO-CMD-NORTH	This study	g	-55.8	-5.8	-25.0	0.0	84.2	0
PI16-8	PI16	SO-CMD-NORTH	This study	g	242.2	-5.8	-43.0	0.0	84.2	0
PI16-9	PI16	SO-CMD-NORTH	This study	g	-77.8	-5.8	-52.0	0.0	84.2	0
PI16H-25	PI16H	SO-CMD-NORTH	This study	g	143.1	0.0	-10.0	0.0	90.0	0
PI16H-26	PI16H	SO-CMD-NORTH	This study	g	-58.9	0.0	-35.0	0.0	90.0	0
PI16H-27	PI16H	SO-CMD-NORTH	This study	g	-68.9	0.0	-12.0	0.0	90.0	0
PI16H-28	PI16H	SO-CMD-NORTH	This study	g	253.1	0.0	-48.0	0.0	90.0	0
PI16H-29	PI16H	SO-CMD-NORTH	This study	g	255.1	0.0	-18.0	0.0	90.0	0
PI16H-30	PI16H	SO-CMD-NORTH	This study	g	251.1	0.0	-22.0	0.0	90.0	0
