tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	DeI2-1	DeI2	SO-CMD-NORTH	-5.8	0.0	84.2		-5.8	-39.0	0		
This study	unknown	DeI2-2	DeI2	SO-CMD-NORTH	-1.8	0.0	84.2		-5.8	-27.0	0		
This study	unknown	DeI2-3	DeI2	SO-CMD-NORTH	-6.8	0.0	84.2		-5.8	-28.0	0		
This study	unknown	DeI2-4	DeI2	SO-CMD-NORTH	-7.8	0.0	84.2		-5.8	-28.0	0		
This study	unknown	DeI2-6	DeI2	SO-CMD-NORTH	155.2	0.0	84.2		-5.8	-20.0	0		
This study	unknown	DeI2-7	DeI2	SO-CMD-NORTH	75.2	0.0	84.2		-5.8	-17.0	0		
This study	unknown	PI15-2	PI15	SO-CMD-NORTH	-32.8	0.0	84.2		-5.8	-42.0	0		
This study	unknown	PI15-6	PI15	SO-CMD-NORTH	-5.8	0.0	84.2		-5.8	-87.0	0		
This study	unknown	PI15-7	PI15	SO-CMD-NORTH	7.2	0.0	84.2		-5.8	-78.0	0		
This study	unknown	PI15-8	PI15	SO-CMD-NORTH	3.2	0.0	84.2		-5.8	-74.0	0		
This study	unknown	PI15-10	PI15	SO-CMD-NORTH	18.2	0.0	84.2		-5.8	-83.0	0		
This study	Slate Islands	PI16-1	PI16	SO-CMD-NORTH	237.2	0.0	84.2		-5.8	-72.0	0		
This study	Slate Islands	PI16-2	PI16	SO-CMD-NORTH	211.2	0.0	84.2		-5.8	-45.0	0		
This study	Slate Islands	PI16-3	PI16	SO-CMD-NORTH	232.2	0.0	84.2		-5.8	-80.0	0		
This study	Slate Islands	PI16-4	PI16	SO-CMD-NORTH	242.2	0.0	84.2		-5.8	-59.0	0		
This study	Slate Islands	PI16-6	PI16	SO-CMD-NORTH	-93.8	0.0	84.2		-5.8	-41.0	0		
This study	Slate Islands	PI16-7	PI16	SO-CMD-NORTH	-55.8	0.0	84.2		-5.8	-25.0	0		
This study	Slate Islands	PI16-9	PI16	SO-CMD-NORTH	-77.8	0.0	84.2		-5.8	-52.0	0		
This study	Slate Islands	PI16-10	PI16	SO-CMD-NORTH	240.2	0.0	84.2		-5.8	-26.0	0		
This study	Slate Islands	PI16-11	PI16	SO-CMD-NORTH	236.2	0.0	84.2		-5.8	-54.0	0		
