tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Slate Islands	DeI2-1	DeI2	DeI2-1a		1.000e-03
This study	Slate Islands	DeI2-2	DeI2	DeI2-2a		1.000e-03
This study	Slate Islands	DeI2-3	DeI2	DeI2-3a		1.000e-03
This study	Slate Islands	DeI2-4	DeI2	DeI2-4a		1.000e-03
This study	Slate Islands	DeI2-6	DeI2	DeI2-6a		1.000e-03
This study	Slate Islands	DeI2-7	DeI2	DeI2-7a		1.000e-03
This study	Slate Islands	PI15-2	PI15	PI15-2a		1.000e-03
This study	Slate Islands	PI15-6	PI15	PI15-6a		1.000e-03
This study	Slate Islands	PI15-7	PI15	PI15-7a		1.000e-03
This study	Slate Islands	PI15-8	PI15	PI15-8a		1.000e-03
This study	Slate Islands	PI15-10	PI15	PI15-10a		1.000e-03
This study	Slate Islands	PI16-1	PI16	PI16-1b		1.000e-03
This study	Slate Islands	PI16-2	PI16	PI16-2b		1.000e-03
This study	Slate Islands	PI16-3	PI16	PI16-3b		1.000e-03
This study	Slate Islands	PI16-4	PI16	PI16-4b		1.000e-03
This study	Slate Islands	PI16-6	PI16	PI16-6b		1.000e-03
This study	Slate Islands	PI16-7	PI16	PI16-7b		1.000e-03
This study	Slate Islands	PI16-9	PI16	PI16-9b		1.000e-03
This study	Slate Islands	PI16-10	PI16	PI16-10b		1.000e-03
This study	Slate Islands	PI16-11	PI16	PI16-11b		1.000e-03
This study	Slate Islands	PI16-12	PI16	PI16-12b		1.000e-03
This study	Slate Islands	PI16-13	PI16	PI16-13b		1.000e-03
This study	Slate Islands	PI16-14	PI16	PI16-14b		1.000e-03
This study	Slate Islands	PI16-16	PI16	PI16-16b		1.000e-03
This study	Slate Islands	PI16-17	PI16	PI16-17b		1.000e-03
This study	Slate Islands	PI16-19	PI16	PI16-19b		1.000e-03
This study	Slate Islands	PI16-20	PI16	PI16-20b		1.000e-03
This study	Slate Islands	PI16-23	PI16	PI16-23b		1.000e-03
This study	Slate Islands	PI16-1	PI16	PI16-1a		1.000e-03
This study	Slate Islands	PI16-2	PI16	PI16-2a		1.000e-03
This study	Slate Islands	PI16-3	PI16	PI16-3a		1.000e-03
This study	Slate Islands	PI16-4	PI16	PI16-4a		1.000e-03
This study	Slate Islands	PI16-6	PI16	PI16-6a		1.000e-03
This study	Slate Islands	PI16-7	PI16	PI16-7a		1.000e-03
This study	Slate Islands	PI16-8	PI16	PI16-8a		1.000e-03
This study	Slate Islands	PI16-9	PI16	PI16-9a		1.000e-03
This study	Slate Islands	PI16-10	PI16	PI16-10a		1.000e-03
This study	Slate Islands	PI16-11	PI16	PI16-11a		1.000e-03
This study	Slate Islands	PI16-12	PI16	PI16-12a		1.000e-03
This study	Slate Islands	PI16-13	PI16	PI16-13a		1.000e-03
This study	Slate Islands	PI16-14	PI16	PI16-14a		1.000e-03
This study	Slate Islands	PI16-15	PI16	PI16-15a		1.000e-03
This study	Slate Islands	PI16-16	PI16	PI16-16a		1.000e-03
This study	Slate Islands	PI16-17	PI16	PI16-17a		1.000e-03
This study	Slate Islands	PI16-18	PI16	PI16-18a		1.000e-03
This study	Slate Islands	PI16-19	PI16	PI16-19a		1.000e-03
This study	Slate Islands	PI16-20	PI16	PI16-20a		1.000e-03
This study	Slate Islands	PI16-21	PI16	PI16-21a		1.000e-03
This study	Slate Islands	PI16-22	PI16	PI16-22a		1.000e-03
This study	Slate Islands	PI16-23	PI16	PI16-23a		1.000e-03
This study	Slate Islands	PI16-24	PI16	PI16-24a		1.000e-03
This study	Slate Islands	PI16H-25	PI16H	PI16H-25a		1.000e-03
This study	Slate Islands	PI16H-26	PI16H	PI16H-26a		1.000e-03
This study	Slate Islands	PI16H-27	PI16H	PI16H-27a		1.000e-03
This study	Slate Islands	PI16H-28	PI16H	PI16H-28a		1.000e-03
This study	Slate Islands	PI16H-29	PI16H	PI16H-29a		1.000e-03
This study	Slate Islands	PI16H-30	PI16H	PI16H-30a		1.000e-03
This study	Slate Islands	PI22-1	PI22	PI22-1b		1.000e-03
