tab 	er_locations
location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	10.1130/G37927.1:This study	North America	48.69098	272.942158	Slate Islands	Central uplift of impact crater	48.62924	273.044394
>>>>>>>>>>
tab 	er_samples
sample_dip	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	sample_bed_dip	er_location_name	sample_declination_correction	sample_height	magic_method_codes	sample_type	sample_azimuth	sample_lon	sample_class
-39	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-1	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	354.2	273.02002	Not Specified
-27	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-2	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	358.2	273.02002	Not Specified
-28	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-3	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	353.2	273.02002	Not Specified
-28	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-4	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	352.2	273.02002	Not Specified
-20	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-6	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	155.2	273.02002	Not Specified
-17	84.2	10.1130/G37927.1:This study	Breccia	DeI2	DeI2-7	Matrix	48.69098	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	75.2	273.02002	Not Specified
-83	84.2	10.1130/G37927.1:This study	Breccia	PI15	PI15-10	Matrix	48.62924	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	18.2	272.97194	Not Specified
-42	84.2	10.1130/G37927.1:This study	Breccia	PI15	PI15-2	Matrix	48.62924	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	327.2	272.97194	Not Specified
-87	84.2	10.1130/G37927.1:This study	Breccia	PI15	PI15-6	Matrix	48.62924	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	354.2	272.97194	Not Specified
-78	84.2	10.1130/G37927.1:This study	Breccia	PI15	PI15-7	Matrix	48.62924	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	7.2	272.97194	Not Specified
-74	84.2	10.1130/G37927.1:This study	Breccia	PI15	PI15-8	Matrix	48.62924	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	3.2	272.97194	Not Specified
-72	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-1	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	237.2	273.02519	Not Specified
-26	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-10	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	240.2	273.02519	Not Specified
-54	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-11	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	236.2	273.02519	Not Specified
-39	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-12	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	229.2	273.02519	Not Specified
