tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 22:54:25	LT-NO:LP-DIR-AF	pmagpy-3.2.1	0.4	231.8		g	35.6	2.40e-06	1	1	1.13e-08	1.99e-09	1.75e-08	u	273	0.000e+00	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 22:55:50	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	231.8		g	35.6	2.40e-06	2	1	1.33e-08	4.04e-09	1.76e-08	u	273	1.000e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 22:57:14	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	231.9		g	35.5	2.40e-06	3	1	1.23e-08	3.10e-09	1.74e-08	u	273	1.500e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 22:58:39	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	231.9		g	35.5	2.40e-06	4	1	1.14e-08	3.07e-09	1.74e-08	u	273	2.000e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:00:03	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	231.9		g	35.5	2.39e-06	5	1	1.26e-08	3.16e-09	1.73e-08	u	273	2.500e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:01:27	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.3	232.0		g	35.6	2.39e-06	6	1	1.23e-08	2.16e-09	1.68e-08	u	273	3.000e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:02:51	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	232.0		g	35.5	2.38e-06	7	1	1.37e-08	3.50e-09	1.69e-08	u	273	3.500e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:04:16	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	232.0		g	35.4	2.38e-06	8	1	1.14e-08	2.55e-09	1.72e-08	u	273	4.000e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:05:40	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	232.0		g	35.4	2.37e-06	9	1	1.23e-08	3.46e-09	1.71e-08	u	273	4.500e-03	0	273
This study	unknown	PI2c-10	PI2c	PI2c-10a	PI2c-10a:LP-DIR-AF	hargrave 2014-03-16 23:07:04	LT-AF-Z:LP-DIR-AF	pmagpy-3.2.1	0.4	232.0		g	35.3	2.37e-06	10	1	1.09e-08	2.27e-09	1.66e-08	u	273	5.000e-03	0	273
