tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI16H-25	PI16H	PI16H-25a	PI16H-25a:LP-DIR-T	hargrave 2016-01-16 13:49:35	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	398	77	K		2	PLF	u	46.2	138.5	l	g	78.3	4.2	5	-1
	This study	unknown	PI16H-25	PI16H	PI16H-25a	PI16H-25a:LP-DIR-T	hargrave 2016-01-16 13:49:35	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	748	473	K		2	MT	u	19.9	181.9	l	g	35.9	4.4	12	-1
	This study	unknown	PI16H-25	PI16H	PI16H-25a	PI16H-25a:LP-DIR-T	hargrave 2016-01-16 13:49:35	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	398	77	K		2	PLF	u	46.2	224.3	l	g	82.2	4.2	5	0
	This study	unknown	PI16H-25	PI16H	PI16H-25a	PI16H-25a:LP-DIR-T	hargrave 2016-01-16 13:49:35	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	748	473	K		2	MT	u	19.9	325.3	l	g	45.9	4.4	12	0
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	77	K		3	PLF	u	49.3	159.4	l	g	64.8	9.5	6	-1
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	773	473	K		3	MT	u	18.1	159.9	l	g	14.5	4.6	13	-1
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	852	773	K		3	HT	u	9.0	163.1	l	g	-26.3	15.6	8	-1
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	77	K		3	PLF	u	49.3	339.0	l	g	75.9	9.5	6	0
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	773	473	K		3	MT	u	18.1	92.1	l	g	46.6	4.6	13	0
	This study	unknown	PI16H-26	PI16H	PI16H-26a	PI16H-26a:LP-DIR-T	hargrave 2016-01-15 11:58:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	852	773	K		3	HT	u	9.0	105.9	l	g	7.4	15.6	8	0
