tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	673	373	K		3	MT	u	88.0	218.8	l	g	70.0	25.0	13	-1
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	948	773	K		3	HT	u	1.7	38.0	l	g	13.2	5.1	14	-1
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	948	853	K		3	hem	u	2.5	37.4	l	g	11.5	2.9	8	-1
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	673	373	K		3	MT	u	88.0	128.4	l	g	33.0	25.0	13	0
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	948	773	K		3	HT	u	1.7	196.0	l	g	-41.2	5.1	14	0
	This study	Slate Islands	PI32-1	PI32	PI32-1b	PI32-1b:LP-DIR-T	hargrave 2016-02-14 17:05:26	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	948	853	K		3	hem	u	2.5	197.4	l	g	-42.8	2.9	8	0
	This study	Slate Islands	PI32-2	PI32	PI32-2b	PI32-2b:LP-DIR-T	hargrave 2016-02-14 17:07:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	648	K		3	HT	u	31.9	83.0	l	g	47.8	19.0	12	-1
	This study	Slate Islands	PI32-2	PI32	PI32-2b	PI32-2b:LP-DIR-T	hargrave 2016-02-14 17:07:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	623	0	K		3	MT	u	142.3	219.0	l	g	-0.6	20.2	14	-1
	This study	Slate Islands	PI32-2	PI32	PI32-2b	PI32-2b:LP-DIR-T	hargrave 2016-02-14 17:07:07	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	948	853	K		3	hem	u	2.6	48.1	l	g	26.8	1.9	8	-1
	This study	Slate Islands	PI32-2	PI32	PI32-2b	PI32-2b:LP-DIR-T	hargrave 2016-02-14 17:07:07	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	648	K		3	HT	u	31.9	193.5	l	g	-7.6	19.0	12	0
