tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-08-26 15:39:18	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	1.2	277.0		g	56.2	8.89e-08	1	1	1.89e-09	6.79e-10	5.92e-10	u	273	0	0	298.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-08-28 10:52:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	279.6		g	55.1	8.66e-08	2	1	2.91e-09	5.29e-10	2.60e-10	u	273	0	0	323.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-08-28 18:49:26	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	277.6		g	53.4	8.41e-08	3	1	1.62e-09	6.23e-10	5.53e-10	u	273	0	0	348.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-08-30 11:03:50	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.8	282.4		g	52.7	8.14e-08	4	1	5.32e-09	1.30e-09	5.19e-10	u	273	0	0	373.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-08-30 17:09:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.4	281.4		g	51.9	7.94e-08	5	1	4.58e-10	3.24e-10	4.04e-10	u	273	0	0	398.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-01 11:06:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	286.4		g	51.3	7.69e-08	6	1	2.99e-09	1.20e-09	4.22e-10	u	273	0	0	423.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-01 17:22:06	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	287.4		g	51.1	7.49e-08	7	1	4.83e-09	1.80e-09	4.79e-10	u	273	0	0	448.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-02 13:45:53	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	288.0		g	50.7	7.30e-08	8	1	3.59e-09	1.54e-09	3.61e-10	u	273	0	0	473.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-04 10:40:33	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.5	283.8		g	50.2	7.09e-08	9	1	4.17e-09	1.43e-09	3.56e-10	u	273	0	0	498.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-05 11:16:33	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.6	286.9		g	49.5	6.75e-08	10	1	4.07e-09	1.22e-09	3.34e-10	u	273	0	0	523.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-06 15:46:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.7	286.5		g	49.3	6.40e-08	11	1	3.89e-09	1.44e-09	3.14e-10	u	273	0	0	548.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-06 21:58:40	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	288.4		g	48.5	5.90e-08	12	1	3.25e-09	1.20e-09	3.42e-10	u	273	0	0	573.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-08 14:36:07	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	290.2		g	47.7	5.38e-08	13	1	2.63e-09	8.69e-10	3.22e-10	u	273	0	0	598.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-11 12:31:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	290.3		g	46.3	4.63e-08	14	1	3.06e-09	1.13e-09	2.79e-10	u	273	0	0	623.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-11 19:10:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	291.7		g	45.2	4.11e-08	15	1	2.64e-09	1.10e-09	2.45e-10	u	273	0	0	648.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-16 16:47:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	294.1		g	44.9	3.62e-08	16	1	1.91e-09	8.92e-10	2.07e-10	u	273	0	0	673.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-19 19:15:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	297.3		g	42.0	3.07e-08	17	1	1.16e-09	7.70e-10	1.96e-10	u	273	0	0	698.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-24 17:43:10	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	299.4		g	39.9	2.56e-08	18	1	1.45e-09	9.67e-10	1.50e-10	u	273	0	0	723.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-25 15:20:29	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	303.9		g	38.3	2.20e-08	19	1	1.04e-09	7.94e-10	1.24e-10	u	273	0	0	748.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-26 13:42:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.6	304.8		g	35.5	1.77e-08	20	1	1.13e-09	9.10e-10	9.66e-11	u	273	0	0	773.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-09-27 12:51:07	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.3	306.2		g	31.4	1.39e-08	21	1	1.21e-09	9.49e-10	7.99e-11	u	273	0	0	793.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-02 14:05:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	313.2		g	28.5	9.81e-09	22	1	1.84e-10	1.71e-10	1.94e-10	u	273	0	0	813.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-09 09:50:42	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.6	306.9		g	30.3	8.07e-09	23	1	5.13e-10	3.95e-10	1.35e-10	u	273	0	0	823.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-09 16:56:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	8.2	306.7		g	21.4	7.41e-09	24	1	8.07e-10	7.03e-10	1.11e-10	u	273	0	0	833.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-09 18:45:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	7.7	309.9		g	21.1	7.39e-09	25	1	7.32e-10	6.94e-10	5.75e-11	u	273	0	0	833.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 00:38:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	333.3		g	46.4	4.16e-09	26	1	8.54e-11	2.62e-10	2.14e-10	u	273	0	0	843.0
This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 20:36:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	290.2		g	-46.0	3.41e-09	27	1	1.20e-10	1.24e-10	1.81e-10	u	273	0	0	853.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-08-26 15:42:28	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	4.3	292.3		g	64.1	3.16e-08	1	1	2.17e-09	9.66e-10	1.32e-10	u	273	0	0	298.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-08-28 10:55:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	294.9		g	62.1	3.03e-08	2	1	5.30e-10	2.64e-10	2.45e-10	u	273	0	0	323.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-08-28 18:52:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	294.9		g	61.0	2.90e-08	3	1	9.58e-10	3.05e-10	2.23e-10	u	273	0	0	348.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-08-30 11:14:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.6	303.1		g	59.8	2.79e-08	4	1	1.59e-09	7.45e-10	2.21e-10	u	273	0	0	373.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-08-30 17:14:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	302.3		g	59.1	2.71e-08	5	1	2.47e-10	3.61e-10	2.41e-10	u	273	0	0	398.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-01 11:10:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	307.5		g	57.7	2.61e-08	6	1	4.57e-10	2.34e-10	2.70e-10	u	273	0	0	423.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-01 17:25:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	308.3		g	57.1	2.54e-08	7	1	9.98e-10	5.20e-10	2.46e-10	u	273	0	0	448.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-02 13:49:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	307.5		g	55.9	2.46e-08	8	1	6.52e-10	3.05e-10	2.35e-10	u	273	0	0	473.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-04 10:43:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	308.0		g	55.0	2.38e-08	9	1	1.17e-09	7.07e-10	2.26e-10	u	273	0	0	498.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-05 11:19:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	310.3		g	53.9	2.28e-08	10	1	9.26e-10	5.68e-10	2.31e-10	u	273	0	0	523.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-06 15:49:46	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.5	309.7		g	52.6	2.14e-08	11	1	1.10e-09	7.50e-10	2.07e-10	u	273	0	0	548.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-06 22:01:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	310.2		g	51.4	2.01e-08	12	1	8.18e-10	6.02e-10	2.16e-10	u	273	0	0	573.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-08 14:39:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.3	311.1		g	50.0	1.86e-08	13	1	1.14e-09	8.12e-10	1.71e-10	u	273	0	0	598.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-11 12:34:30	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	311.3		g	48.6	1.74e-08	14	1	7.31e-10	4.68e-10	2.07e-10	u	273	0	0	623.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-11 19:13:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	312.6		g	47.3	1.62e-08	15	1	7.72e-10	5.54e-10	2.03e-10	u	273	0	0	648.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-16 16:50:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	311.2		g	46.0	1.50e-08	16	1	4.64e-10	2.61e-10	1.89e-10	u	273	0	0	673.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-19 19:19:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	310.5		g	43.4	1.34e-08	17	1	5.20e-10	2.81e-10	1.91e-10	u	273	0	0	698.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-24 17:46:28	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.2	308.1		g	39.3	1.18e-08	18	1	7.48e-10	4.52e-10	1.64e-10	u	273	0	0	723.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-25 15:24:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	307.1		g	35.9	9.80e-09	19	1	4.17e-10	2.39e-10	6.59e-11	u	273	0	0	748.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-26 13:46:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.6	303.2		g	37.0	8.08e-09	20	1	6.00e-10	2.81e-10	5.19e-11	u	273	0	0	773.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-09-27 12:54:33	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	5.4	305.8		g	37.6	7.25e-09	21	1	5.83e-10	3.60e-10	4.84e-11	u	273	0	0	793.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-02 14:07:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.7	300.3		g	33.9	5.25e-09	22	1	3.81e-10	1.75e-10	1.97e-10	u	273	0	0	813.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-09 09:53:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.5	321.4		g	39.8	4.87e-09	23	1	3.53e-10	4.18e-10	1.78e-10	u	273	0	0	823.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-09 16:57:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.5	287.3		g	34.0	5.23e-09	24	1	5.57e-10	2.10e-10	1.06e-10	u	273	0	0	833.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-10 00:40:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	5.9	284.6		g	39.7	5.08e-09	25	1	5.09e-10	6.86e-11	1.22e-10	u	273	0	0	843.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-10 20:38:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.1	309.8		g	52.2	3.43e-09	26	1	2.22e-10	9.12e-11	5.91e-11	u	273	0	0	853.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-28 18:52:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.1	245.0		g	13.0	4.07e-09	27	1	3.90e-10	1.80e-10	8.11e-11	u	273	0	0	873.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-10-29 13:46:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	7.9	244.7		g	22.9	4.56e-09	28	1	5.57e-10	3.65e-10	1.14e-10	u	273	0	0	893.0
This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	5.5	303.1		g	16.9	2.03e-09	29	1	1.71e-10	9.35e-11	4.37e-11	u	273	0	0	913.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-08-26 15:44:06	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	2.0	258.1		g	63.5	1.70e-08	1	1	5.23e-10	3.21e-10	8.93e-11	u	273	0	0	298.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-08-28 10:56:53	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	261.9		g	63.2	1.65e-08	2	1	4.84e-10	1.33e-10	5.91e-11	u	273	0	0	323.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-08-28 18:54:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.7	266.3		g	63.1	1.55e-08	3	1	1.51e-10	1.31e-10	6.11e-11	u	273	0	0	348.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-08-30 11:15:57	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	274.3		g	63.0	1.47e-08	4	1	8.47e-10	1.19e-10	7.71e-11	u	273	0	0	373.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-08-30 17:16:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	274.0		g	62.8	1.41e-08	5	1	3.56e-10	9.66e-11	7.02e-11	u	273	0	0	398.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-09-01 11:12:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	282.7		g	63.1	1.36e-08	6	1	4.65e-10	1.43e-10	6.10e-11	u	273	0	0	423.0
This study	unknown	PI22-12	PI22	PI22-12b	PI22-12b:LP-DIR-T	hargrave 2014-09-01 17:26:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	282.5		g	63.0	1.32e-08	7	1	6.29e-10	1.67e-10	5.79e-11	u	273	0	0	448.0
