tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 20:36:19	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	448	348	K		2	LT	u	44.9	212.1	l	g	46.0	9.6	5	-1
	This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 20:36:19	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	833	523	K		2	HT	u	10.7	281.6	l	g	52.1	3.5	15	-1
	This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 20:36:19	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	448	348	K		2	LT	u	44.9	25.0	l	g	64.8	9.6	5	0
	This study	unknown	PI22-10	PI22	PI22-10b	PI22-10b:LP-DIR-T	hargrave 2014-10-10 20:36:19	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	833	523	K		2	HT	u	10.7	92.2	l	g	41.0	3.5	15	0
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	298	K		3	LT	u	41.4	209.4	l	g	59.0	9.3	6	-1
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	748	573	K		3	HT	u	19.6	317.7	l	g	65.5	3.7	8	-1
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	873	793	K		3	hem	u	49.8	354.5	l	g	31.1	30.3	7	-1
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	298	K		3	LT	u	41.4	34.8	l	g	72.7	9.3	6	0
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	748	573	K		3	HT	u	19.6	73.6	l	g	32.8	3.7	8	0
	This study	unknown	PI22-11	PI22	PI22-11b	PI22-11b:LP-DIR-T	hargrave 2014-11-03 19:53:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	873	793	K		3	hem	u	49.8	88.3	l	g	-5.7	30.3	7	0
