tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-08-26 16:13:29	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	1.1	111.6		g	50.6	3.85e-07	1	1	6.66e-09	2.94e-09	2.52e-09	u	273	0	0	298.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-08-28 11:26:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.7	109.9		g	50.1	3.80e-07	2	1	2.92e-09	2.91e-09	3.25e-09	u	273	0	0	323.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-08-28 19:23:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.5	115.1		g	49.4	3.73e-07	3	1	2.25e-09	1.93e-09	2.61e-09	u	273	0	0	348.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-08-30 11:44:20	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	116.2		g	48.4	3.61e-07	4	1	1.50e-08	7.87e-09	2.10e-09	u	273	0	0	373.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-08-30 17:44:44	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.1	115.4		g	46.7	3.45e-07	5	1	2.23e-08	1.01e-08	2.16e-09	u	273	0	0	398.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-01 11:41:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	117.5		g	45.0	3.29e-07	6	1	8.51e-09	3.24e-09	2.03e-09	u	273	0	0	423.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-01 17:54:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	114.0		g	44.2	3.20e-07	7	1	3.28e-09	5.36e-09	4.50e-09	u	273	0	0	448.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-02 14:18:49	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.5	114.2		g	43.5	3.07e-07	8	1	1.84e-09	1.74e-09	2.12e-09	u	273	0	0	473.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-04 11:13:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.1	113.4		g	43.4	2.95e-07	9	1	1.93e-08	8.31e-09	2.05e-09	u	273	0	0	498.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-05 11:49:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	111.3		g	42.5	2.79e-07	10	1	5.26e-09	2.00e-09	1.99e-09	u	273	0	0	523.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-06 16:19:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.7	112.1		g	42.2	2.63e-07	11	1	2.68e-09	1.90e-09	1.85e-09	u	273	0	0	548.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-06 22:31:53	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	114.7		g	41.4	2.43e-07	12	1	4.79e-09	3.09e-09	1.66e-09	u	273	0	0	573.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-08 15:09:38	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	113.3		g	40.6	2.19e-07	13	1	8.18e-09	4.13e-09	1.69e-09	u	273	0	0	598.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-11 13:04:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.6	115.5		g	39.5	1.98e-07	14	1	1.08e-08	5.93e-09	1.34e-09	u	273	0	0	623.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-11 19:42:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	114.6		g	38.8	1.85e-07	15	1	4.54e-09	2.99e-09	1.41e-09	u	273	0	0	648.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-16 17:20:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	115.4		g	38.8	1.75e-07	16	1	4.92e-09	2.95e-09	1.46e-09	u	273	0	0	673.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-19 19:51:29	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	117.0		g	38.8	1.57e-07	17	1	9.12e-09	6.24e-09	9.03e-10	u	273	0	0	698.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-24 18:16:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.5	116.2		g	37.3	1.44e-07	18	1	5.26e-09	2.43e-09	2.88e-09	u	273	0	0	723.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-25 15:54:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	114.1		g	36.4	1.32e-07	19	1	4.00e-09	1.13e-09	2.63e-09	u	273	0	0	748.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-26 14:19:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	112.6		g	36.0	1.20e-07	20	1	1.86e-09	7.52e-10	2.86e-09	u	273	0	0	773.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-09-27 13:27:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	111.8		g	36.9	1.10e-07	21	1	9.23e-10	7.23e-10	1.53e-09	u	273	0	0	793.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-02 14:36:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	121.5		g	38.7	9.45e-08	22	1	2.34e-09	3.18e-09	4.80e-10	u	273	0	0	813.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-09 10:24:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	120.6		g	37.2	8.64e-08	23	1	4.35e-10	7.60e-10	2.09e-09	u	273	0	0	823.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-09 17:26:36	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	121.9		g	39.6	7.45e-08	24	1	1.76e-09	1.35e-09	1.92e-09	u	273	0	0	833.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-10 01:08:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	122.8		g	40.7	6.32e-08	25	1	1.24e-09	1.11e-09	1.77e-09	u	273	0	0	843.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-10 21:07:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	120.9		g	34.2	4.80e-08	26	1	1.72e-09	9.60e-10	1.47e-09	u	273	0	0	853.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-28 19:05:38	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.2	132.3		g	39.2	3.44e-08	27	1	8.69e-10	1.92e-09	3.93e-10	u	273	0	0	873.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-10-29 14:00:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	130.4		g	39.5	3.32e-08	28	1	4.18e-10	1.13e-09	5.42e-10	u	273	0	0	893.0
This study	unknown	PI26-1	PI26	PI26-1b	PI26-1b:LP-DIR-T	hargrave 2014-11-03 20:05:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	117.5		g	36.1	3.02e-08	29	1	1.16e-09	8.90e-10	1.17e-09	u	273	0	0	913.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-08-26 16:15:06	LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	8.9	148.9		g	32.4	2.71e-07	1	1	2.17e-08	3.63e-08	1.98e-09	u	273	0	0	298.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-08-28 11:27:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	143.8		g	31.2	2.71e-07	2	1	1.13e-08	1.50e-08	1.71e-09	u	273	0	0	323.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-08-28 19:25:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.6	144.2		g	30.2	2.68e-07	3	1	2.05e-09	1.83e-09	1.79e-09	u	273	0	0	348.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-08-30 11:46:15	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	144.5		g	29.0	2.59e-07	4	1	1.01e-08	1.43e-08	1.61e-09	u	273	0	0	373.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-08-30 17:46:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	142.6		g	27.1	2.51e-07	5	1	3.04e-09	4.30e-09	1.86e-09	u	273	0	0	398.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-01 11:43:26	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.5	144.4		g	25.5	2.39e-07	6	1	8.71e-10	1.42e-09	1.79e-09	u	273	0	0	423.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-01 17:56:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.6	142.2		g	24.7	2.30e-07	7	1	1.09e-08	1.49e-08	1.53e-09	u	273	0	0	448.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-02 14:20:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	142.0		g	23.8	2.23e-07	8	1	4.98e-09	6.22e-09	1.47e-09	u	273	0	0	473.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-04 11:15:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	142.3		g	23.1	2.14e-07	9	1	3.47e-09	4.40e-09	1.38e-09	u	273	0	0	498.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-05 11:51:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	141.5		g	22.2	2.01e-07	10	1	1.98e-09	2.05e-09	1.38e-09	u	273	0	0	523.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-06 16:21:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	142.5		g	21.6	1.90e-07	11	1	5.98e-09	7.47e-09	1.10e-09	u	273	0	0	548.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-06 22:33:46	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	142.5		g	20.1	1.74e-07	12	1	2.63e-09	3.21e-09	1.03e-09	u	273	0	0	573.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-08 15:11:38	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	141.7		g	18.4	1.54e-07	13	1	3.52e-09	4.46e-09	1.05e-09	u	273	0	0	598.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-11 13:06:18	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	141.3		g	16.7	1.37e-07	14	1	2.83e-09	3.92e-09	1.10e-09	u	273	0	0	623.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-11 19:44:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	143.2		g	16.4	1.26e-07	15	1	1.30e-09	1.88e-09	9.76e-10	u	273	0	0	648.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-16 17:22:08	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	143.5		g	15.7	1.18e-07	16	1	2.85e-09	4.17e-09	7.82e-10	u	273	0	0	673.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-19 19:53:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	142.2		g	14.0	8.49e-08	17	1	1.72e-08	1.22e-08	7.82e-09	u	273	0	0	698.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-24 18:18:57	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	143.5		g	15.0	9.64e-08	18	1	2.44e-09	3.04e-09	1.17e-09	u	273	0	0	723.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-25 15:57:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	143.1		g	14.6	8.81e-08	19	1	1.06e-09	1.71e-09	9.15e-10	u	273	0	0	748.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-26 14:21:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	146.8		g	12.6	7.95e-08	20	1	8.18e-10	1.12e-09	1.05e-09	u	273	0	0	773.0
This study	unknown	PI26-2	PI26	PI26-2b	PI26-2b:LP-DIR-T	hargrave 2014-09-27 13:29:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.0	147.5		g	11.5	7.37e-08	21	1	2.09e-09	3.13e-09	8.34e-10	u	273	0	0	793.0
