tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI47-1	PI47	PI47-1a	PI47-1a:LP-DIR-T	hargrave 2015-11-05 12:06:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	852	523	K		2	HT	u	2.0	207.9	l	g	34.3	4.2	19	-1
	This study	unknown	PI47-1	PI47	PI47-1a	PI47-1a:LP-DIR-T	hargrave 2015-11-05 12:06:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	473	0	K		2	LT	u	31.7	169.9	l	g	64.0	8.1	8	-1
	This study	unknown	PI47-1	PI47	PI47-1a	PI47-1a:LP-DIR-T	hargrave 2015-11-05 12:06:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	852	523	K		2	HT	u	2.0	88.4	l	g	48.0	4.2	19	0
	This study	unknown	PI47-1	PI47	PI47-1a	PI47-1a:LP-DIR-T	hargrave 2015-11-05 12:06:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	473	0	K		2	LT	u	31.7	28.4	l	g	79.4	8.1	8	0
	This study	unknown	PI47-2	PI47	PI47-2a	PI47-2a:LP-DIR-T	hargrave 2015-11-05 12:08:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	473	0	K		2	LT	u	28.1	147.7	l	g	55.4	5.9	8	-1
	This study	unknown	PI47-2	PI47	PI47-2a	PI47-2a:LP-DIR-T	hargrave 2015-11-05 12:08:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	852	623	K		2	HT	u	3.8	180.0	l	g	23.1	3.5	15	-1
	This study	unknown	PI47-2	PI47	PI47-2a	PI47-2a:LP-DIR-T	hargrave 2015-11-05 12:08:11	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	473	0	K		2	LT	u	28.1	351.1	l	g	72.0	5.9	8	0
	This study	unknown	PI47-2	PI47	PI47-2a	PI47-2a:LP-DIR-T	hargrave 2015-11-05 12:08:11	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	852	623	K		2	HT	u	3.8	71.1	l	g	50.1	3.5	15	0
	This study	unknown	PI47-3	PI47	PI47-3a	PI47-3a:LP-DIR-T	hargrave 2015-11-05 13:19:54	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	473	0	K		2	LT	u	32.8	159.8	l	g	62.2	7.4	8	-1
	This study	unknown	PI47-3	PI47	PI47-3a	PI47-3a:LP-DIR-T	hargrave 2015-11-05 13:19:54	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.2.1	852	598	K		2	HT	u	2.1	218.9	l	g	34.8	4.4	19	-1
