tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
DeI2-1	DeI2	0.0		Conglomerate	Breccia		Matrix	-5.8	-5.8	0	84.2	-39	This study	SO-CMD-NORTH	g	i
DeI2-2	DeI2	0.0		Conglomerate	Breccia		Matrix	-1.8	-5.8	0	84.2	-27	This study	SO-CMD-NORTH	g	i
DeI2-3	DeI2	0.0		Conglomerate	Breccia		Matrix	-6.8	-5.8	0	84.2	-28	This study	SO-CMD-NORTH	g	i
DeI2-4	DeI2	0.0		Conglomerate	Breccia		Matrix	-7.8	-5.8	0	84.2	-28	This study	SO-CMD-NORTH	g	i
DeI2-6	DeI2	0.0		Conglomerate	Breccia		Matrix	155.2	-5.8	0	84.2	-20	This study	SO-CMD-NORTH	g	i
DeI2-7	DeI2	0.0		Conglomerate	Breccia		Matrix	75.2	-5.8	0	84.2	-17	This study	SO-CMD-NORTH	g	i
PI34-1	PI34	9.8	Igneous	Baked Contact	Basalt			31.2	-5.8	42	207.2	-50	This study	SO-CMD-NORTH	g	i
PI34-2	PI34	10.5	Igneous	Baked Contact	Basalt			159.2	-5.8	42	207.2	-62	This study	SO-CMD-NORTH	g	i
PI34-3	PI34	9.7	Igneous	Baked Contact	Basalt			46.2	-5.8	42	207.2	-53	This study	SO-CMD-NORTH	g	i
PI34-4	PI34	9.7	Igneous	Baked Contact	Basalt			46.2	-5.8	42	207.2	-47	This study	SO-CMD-NORTH	g	i
PI34-5	PI34	9.9	Igneous	Baked Contact	Basalt			60.2	-5.8	42	207.2	-61	This study	SO-CMD-NORTH	g	i
PI34-6	PI34	10.7	Igneous	Baked Contact	Basalt			63.2	-5.8	42	207.2	-50	This study	SO-CMD-NORTH	g	i
PI34-7	PI34	11.6	Igneous	Baked Contact	Basalt			161.2	-5.8	42	207.2	-81	This study	SO-CMD-NORTH	g	i
PI34-8	PI34	13.3	Igneous	Baked Contact	Basalt			64.2	-5.8	42	207.2	-32	This study	SO-CMD-NORTH	g	i
PI2m-1	PI2m	0.0		Conglomerate	Breccia		Matrix	232.2	-5.8	0	84.2	-16	This study	SO-CMD-NORTH	g	i
PI2m-5	PI2m	0.0		Conglomerate	Breccia		Matrix	49.2	-5.8	0	84.2	-22	This study	SO-CMD-NORTH	g	i
PI2m-6	PI2m	0.0		Conglomerate	Breccia		Matrix	65.2	-5.8	0	84.2	-15	This study	SO-CMD-NORTH	g	i
PI2m-7	PI2m	0.0		Conglomerate	Breccia		Matrix	-2.8	-5.8	0	84.2	-29	This study	SO-CMD-NORTH	g	i
PI2m-8	PI2m	0.0		Conglomerate	Breccia		Matrix	31.2	-5.8	0	84.2	-64	This study	SO-CMD-NORTH	g	i
PI15-2	PI15	0.0		Conglomerate	Breccia		Matrix	-32.8	-5.8	0	84.2	-42	This study	SO-CMD-NORTH	g	i
PI15-6	PI15	0.0		Conglomerate	Breccia		Matrix	-5.8	-5.8	0	84.2	-87	This study	SO-CMD-NORTH	g	i
PI15-7	PI15	0.0		Conglomerate	Breccia		Matrix	7.2	-5.8	0	84.2	-78	This study	SO-CMD-NORTH	g	i
PI15-8	PI15	0.0		Conglomerate	Breccia		Matrix	3.2	-5.8	0	84.2	-74	This study	SO-CMD-NORTH	g	i
PI15-10	PI15	0.0		Conglomerate	Breccia		Matrix	18.2	-5.8	0	84.2	-83	This study	SO-CMD-NORTH	g	i
PI31-3	PI31	0.0		Conglomerate	Breccia		Clast	53.0	-6.0	0	84.0	-64	This study	SO-CMD-NORTH	g	i
PI31-6	PI31	0.0		Conglomerate	Breccia		Clast	-21.0	-6.0	0	84.0	-42	This study	SO-CMD-NORTH	g	i
PI16-1	PI16	0.0		Conglomerate	Breccia		Clast	237.2	-5.8	0	84.2	-72	This study	SO-CMD-NORTH	g	i
PI16-2	PI16	0.0		Conglomerate	Breccia		Clast	211.2	-5.8	0	84.2	-45	This study	SO-CMD-NORTH	g	i
PI16-3	PI16	0.0		Conglomerate	Breccia		Clast	232.2	-5.8	0	84.2	-80	This study	SO-CMD-NORTH	g	i
PI16-4	PI16	0.0		Conglomerate	Breccia		Clast	242.2	-5.8	0	84.2	-59	This study	SO-CMD-NORTH	g	i
PI16-6	PI16	0.0		Conglomerate	Breccia		Clast	-93.8	-5.8	0	84.2	-41	This study	SO-CMD-NORTH	g	i
PI16-7	PI16	0.0		Conglomerate	Breccia		Clast	-55.8	-5.8	0	84.2	-25	This study	SO-CMD-NORTH	g	i
PI16-8	PI16	0.0		Conglomerate	Breccia		Clast	242.2	-5.8	0	84.2	-43	This study	SO-CMD-NORTH	g	i
PI16-9	PI16	0.0		Conglomerate	Breccia		Clast	-77.8	-5.8	0	84.2	-52	This study	SO-CMD-NORTH	g	i
PI16-10	PI16	0.0		Conglomerate	Breccia		Clast	240.2	-5.8	0	84.2	-26	This study	SO-CMD-NORTH	g	i
PI16-11	PI16	0.0		Conglomerate	Breccia		Clast	236.2	-5.8	0	84.2	-54	This study	SO-CMD-NORTH	g	i
PI16-12	PI16	0.0		Conglomerate	Breccia		Clast	229.2	-5.8	0	84.2	-39	This study	SO-CMD-NORTH	g	i
PI16-13	PI16	0.0		Conglomerate	Breccia		Clast	-77.8	-5.8	0	84.2	-32	This study	SO-CMD-NORTH	g	i
PI16-14	PI16	0.0		Conglomerate	Breccia		Clast	111.2	-5.8	0	84.2	-45	This study	SO-CMD-NORTH	g	i
PI16-15	PI16	0.0		Conglomerate	Breccia		Clast	182.2	-5.8	0	84.2	-42	This study	SO-CMD-NORTH	g	i
PI16-16	PI16	0.0		Conglomerate	Breccia		Clast	254.2	-5.8	0	84.2	-39	This study	SO-CMD-NORTH	g	i
PI16-17	PI16	0.0		Conglomerate	Breccia		Clast	210.2	-5.8	0	84.2	-38	This study	SO-CMD-NORTH	g	i
PI16-18	PI16	0.0		Conglomerate	Breccia		Clast	69.2	-5.8	0	84.2	-35	This study	SO-CMD-NORTH	g	i
PI16-19	PI16	0.0		Conglomerate	Breccia		Clast	83.2	-5.8	0	84.2	-22	This study	SO-CMD-NORTH	g	i
PI16-20	PI16	0.0		Conglomerate	Breccia		Clast	204.2	-5.8	0	84.2	-35	This study	SO-CMD-NORTH	g	i
PI16-21	PI16	0.0		Conglomerate	Breccia		Clast	243.2	-5.8	0	84.2	-46	This study	SO-CMD-NORTH	g	i
PI16-22	PI16	0.0		Conglomerate	Breccia		Clast	237.2	-5.8	0	84.2	-33	This study	SO-CMD-NORTH	g	i
