tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
DeI2	Slate Islands	DeI2-1:DeI2-2:DeI2-3:DeI2-4:DeI2-6	DeI2-1a:DeI2-2a:DeI2-3a:DeI2-4a:DeI2-6a	2280.0	4560.0	0.0	2280.0	Ma	9.0	HT	90.2	43.3	73.0	5	5	0	t	4.9456	0	48.691	273.02					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	11.2	7.0	18.5	345.6	5
DeI2	Slate Islands	DeI2-3:DeI2-4:DeI2-6	DeI2-3a:DeI2-4a:DeI2-6a	2280.0	4560.0	0.0	2280.0	Ma	20.1	LT	150.3	84.6	39.0	3	3	0	n	2.9483	0	48.691	273.02					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	39.7	39.2	39.2	279.8	3
DeI2	Slate Islands	DeI2-1:DeI2-2:DeI2-3:DeI2-4:DeI2-6	DeI2-1a:DeI2-2a:DeI2-3a:DeI2-4a:DeI2-6a	2280.0	4560.0	0.0	2280.0	Ma	14.0	hem	95.5	36.5	31.0	5	5	0	t	4.8709	0	48.691	273.02					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	16.3	9.5	11.6	345.4	5
PI15	Slate Islands	PI15-10:PI15-2:PI15-6:PI15-7:PI15-8	PI15-10a:PI15-2a:PI15-6a:PI15-7a:PI15-8a	2280.0	4560.0	0.0	2280.0	Ma	7.0	HT	81.7	47.8	119.0	5	5	0	t	4.9664	0	48.6292	272.9719					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.1	5.9	26.5	348.5	5
PI15	Slate Islands	PI15-10:PI15-6:PI15-7:PI15-8	PI15-10a:PI15-6a:PI15-7a:PI15-8a	2280.0	4560.0	0.0	2280.0	Ma	7.8	LT	354.2	75.0	140.0	4	4	0	n	3.9785	0	48.6292	272.9719					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	14.2	13.0	76.4	261.2	4
PI15	Slate Islands	PI15-6	PI15-6a	2280.0	4560.0	0.0	2280.0	Ma		hem	148.2	-29.6		1	1	0	r		0	48.6292	272.9719					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	199.1	110.2	-48.2	322.5	1
PI16	Slate Islands	PI16-10:PI16-11:PI16-12:PI16-13:PI16-14:PI16-15:PI16-16:PI16-17:PI16-18:PI16-19:PI16-1:PI16-20:PI16-21:PI16-22:PI16-23:PI16-2:PI16-3:PI16-4:PI16-6:PI16-7:PI16-8:PI16-9	PI16-10a:PI16-11a:PI16-12a:PI16-13a:PI16-14a:PI16-15a:PI16-16a:PI16-17a:PI16-18a:PI16-19a:PI16-1a:PI16-20a:PI16-21a:PI16-22a:PI16-23a:PI16-2a:PI16-3a:PI16-4a:PI16-6a:PI16-7a:PI16-8a:PI16-9a	2280.0	4560.0	0.0	2280.0	Ma	5.9	HC	70.2	57.2	29.0	22	22	0	n	21.2663	0	48.672	273.0252					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	8.6	6.3	39.6	347.7	22
PI16	Slate Islands	PI16-10:PI16-11:PI16-12:PI16-13:PI16-14:PI16-16:PI16-17:PI16-19:PI16-1:PI16-20:PI16-23:PI16-2:PI16-3:PI16-4:PI16-6:PI16-7:PI16-9	PI16-10b:PI16-11b:PI16-12b:PI16-13b:PI16-14b:PI16-16b:PI16-17b:PI16-19b:PI16-1b:PI16-20b:PI16-23b:PI16-2b:PI16-3b:PI16-4b:PI16-6b:PI16-7b:PI16-9b	2280.0	4560.0	0.0	2280.0	Ma	4.9	HT	84.0	53.5	55.0	17	17	0	t	16.7069	0	48.672	273.0252					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	6.8	4.8	28.5	342.7	17
PI16	Slate Islands	PI16-1	PI16-1b	2280.0	4560.0	0.0	2280.0	Ma		LT	57.8	76.5		1	1	0	n		0	48.672	273.0252					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	333.7	309.4	56.0	314.0	1
PI16H	Slate Islands	PI16H-26:PI16H-27:PI16H-28:PI16H-29:PI16H-30	PI16H-26a:PI16H-27a:PI16H-28a:PI16H-29a:PI16H-30a	2280.0	4560.0	0.0	2280.0	Ma	49.8	HT	96.6	28.1	3.0	5	5	0	t	3.7936	0	48.672	273.0252					ACCEPT	pmagpy-3.13.1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	54.5	29.9	6.9	348.2	5
