tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	result_type	volume	weight	location	site
DeI2-1a	DeI2-1	DeI2-1a:LP-DIR-T		HT	126.2	29.9	2.0	18.0	-1.0	4.7	5.4				848.0	423.0	K		hargrave 2014-10-14 19:02:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-1a	DeI2-1	DeI2-1a:LP-DIR-T		hem	121.2	21.7	2.0	5.0	-1.0	5.8	3.1				943.0	873.0	K		hargrave 2014-10-14 19:02:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-1a	DeI2-1	DeI2-1a:LP-DIR-T		HT	91.0	45.2	2.0	18.0	0.0	4.7	5.4				848.0	423.0	K		hargrave 2014-10-14 19:02:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-1a	DeI2-1	DeI2-1a:LP-DIR-T		hem	94.3	36.2	2.0	5.0	0.0	5.8	3.1				943.0	873.0	K		hargrave 2014-10-14 19:02:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-2a	DeI2-2	DeI2-2a:LP-DIR-T		HT	115.6	42.3	2.0	16.0	-1.0	3.4	3.1				848.0	473.0	K		hargrave 2014-10-14 19:03:56	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-2a	DeI2-2	DeI2-2a:LP-DIR-T		hem	127.0	43.9	2.0	5.0	-1.0	8.8	5.1				943.0	873.0	K		hargrave 2014-10-14 19:03:56	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-2a	DeI2-2	DeI2-2a:LP-DIR-T		HT	86.5	48.1	2.0	16.0	0.0	3.4	3.1				848.0	473.0	K		hargrave 2014-10-14 19:03:56	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-2a	DeI2-2	DeI2-2a:LP-DIR-T		hem	95.3	54.5	2.0	5.0	0.0	8.8	5.1				943.0	873.0	K		hargrave 2014-10-14 19:03:56	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		LT	207.6	86.0	3.0	6.0	0.0	49.1	23.7				423.0	273.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		HT	99.6	39.1	3.0	16.0	0.0	9.4	4.8				848.0	473.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
